State,Cancer Type,Mortality Rate
Delaware,Uterine corpus / Male,n/a
District of Columbia,All cancer types combined / Both sexes combined,179
District of Columbia,All cancer types combined / Female,160
District of Columbia,All cancer types combined / Male,210
District of Columbia,Brain and other nervous system / Both sexes combined,3
District of Columbia,Brain and other nervous system / Female,2.3
District of Columbia,Brain and other nervous system / Male,3.9
District of Columbia,Breast / Both sexes combined,29.3 
District of Columbia,Breast / Female,29.3
District of Columbia,Breast / Male,n/a
District of Columbia,Cervix / Both sexes combined,2.9
District of Columbia,Cervix / Female,2.9
District of Columbia,Cervix / Male,n/a
District of Columbia,Colorectum / Both sexes combined,16.7
District of Columbia,Colorectum / Female,15.5
District of Columbia,Colorectum / Male,18.6
District of Columbia,Esophagus / Both sexes combined,4.2
District of Columbia,Esophagus / Female,2.7
District of Columbia,Esophagus / Male,6.4
District of Columbia,Hodgkin lymphoma / Both sexes combined,0.4
District of Columbia,Hodgkin lymphoma / Female,.0001
District of Columbia,Hodgkin lymphoma / Male,.0001
District of Columbia,Kidney and renal pelvis / Both sexes combined,2.8
District of Columbia,Kidney and renal pelvis / Female,1.6
District of Columbia,Kidney and renal pelvis / Male,4.4
District of Columbia,Larynx / Both sexes combined,1.6
District of Columbia,Larynx / Female,0.7
District of Columbia,Larynx / Male,3
District of Columbia,Leukemia / Both sexes combined,5.3
District of Columbia,Leukemia / Female,4.3
District of Columbia,Leukemia / Male,7.2
District of Columbia,Liver and intrahepatic bile duct / Both sexes combined,9.6
District of Columbia,Liver and intrahepatic bile duct / Female,5.2
District of Columbia,Liver and intrahepatic bile duct / Male,15.3
District of Columbia,Lung and bronchus / Both sexes combined,40.3
District of Columbia,Lung and bronchus / Female,33.5
District of Columbia,Lung and bronchus / Male,49.6
District of Columbia,Melanoma of the skin / Both sexes combined,1.1
District of Columbia,Melanoma of the skin / Female,1
District of Columbia,Melanoma of the skin / Male,1.2
District of Columbia,Myeloma / Both sexes combined,4
District of Columbia,Myeloma / Female,3.4
District of Columbia,Myeloma / Male,4.8
District of Columbia,Non-Hodgkin lymphoma / Both sexes combined,4.5
District of Columbia,Non-Hodgkin lymphoma / Female,3.3
District of Columbia,Non-Hodgkin lymphoma / Male,6.1
District of Columbia,Oral cavity and pharynx / Both sexes combined,3.1
District of Columbia,Oral cavity and pharynx / Female,1.5
District of Columbia,Oral cavity and pharynx / Male,5.3
District of Columbia,Ovary / Both sexes combined,7.6
District of Columbia,Ovary / Female,7.6
District of Columbia,Ovary / Male,n/a
District of Columbia,Pancreas / Both sexes combined,13.7
District of Columbia,Pancreas / Female,12.1
District of Columbia,Pancreas / Male,15.5
District of Columbia,Prostate / Both sexes combined,33.6
District of Columbia,Prostate / Female,n/a
District of Columbia,Prostate / Male,33.6
District of Columbia,Stomach / Both sexes combined,5
District of Columbia,Stomach / Female,3.5
District of Columbia,Stomach / Male,7.4
District of Columbia,Testis / Both sexes combined,.0001
District of Columbia,Testis / Female,n/a
District of Columbia,Testis / Male,.0001
District of Columbia,Thyroid / Both sexes combined,0.8
District of Columbia,Thyroid / Female,0.9
District of Columbia,Thyroid / Male,.0001
District of Columbia,Urinary bladder / Both sexes combined,3.7
District of Columbia,Urinary bladder / Female,3.1
District of Columbia,Urinary bladder / Male,4.7
District of Columbia,Uterine corpus / Both sexes combined,7.7
District of Columbia,Uterine corpus / Female,7.7
District of Columbia,Uterine corpus / Male,n/a
Florida,All cancer types combined / Both sexes combined,157.6
Florida,All cancer types combined / Female,132.7
Florida,All cancer types combined / Male,189.4
Florida,Brain and other nervous system / Both sexes combined,4.2
Florida,Brain and other nervous system / Female,3.3
Florida,Brain and other nervous system / Male,5.1
Florida,Breast / Both sexes combined,20.2 
Florida,Breast / Female,20.2
Florida,Breast / Male,n/a
Florida,Cervix / Both sexes combined,2.8
Florida,Cervix / Female,2.8
Florida,Cervix / Male,n/a
Florida,Colorectum / Both sexes combined,13.6
Florida,Colorectum / Female,11.3
Florida,Colorectum / Male,16.3
Florida,Esophagus / Both sexes combined,3.9
Florida,Esophagus / Female,1.4
Florida,Esophagus / Male,6.8
Florida,Hodgkin lymphoma / Both sexes combined,0.3
Florida,Hodgkin lymphoma / Female,0.2
Florida,Hodgkin lymphoma / Male,0.4
Florida,Kidney and renal pelvis / Both sexes combined,3.4
Florida,Kidney and renal pelvis / Female,2.1
Florida,Kidney and renal pelvis / Male,4.9
Florida,Larynx / Both sexes combined,1.2
Florida,Larynx / Female,0.4
Florida,Larynx / Male,2.1
Florida,Leukemia / Both sexes combined,6.4
Florida,Leukemia / Female,4.8
Florida,Leukemia / Male,8.5
Florida,Liver and intrahepatic bile duct / Both sexes combined,5.9
Florida,Liver and intrahepatic bile duct / Female,3.4
Florida,Liver and intrahepatic bile duct / Male,8.8
Florida,Lung and bronchus / Both sexes combined,43.8
Florida,Lung and bronchus / Female,35.5
Florida,Lung and bronchus / Male,54.1
Florida,Melanoma of the skin / Both sexes combined,2.9
Florida,Melanoma of the skin / Female,1.8
Florida,Melanoma of the skin / Male,4.3
Florida,Myeloma / Both sexes combined,3
Florida,Myeloma / Female,2.4
Florida,Myeloma / Male,3.8
Florida,Non-Hodgkin lymphoma / Both sexes combined,5.6
Florida,Non-Hodgkin lymphoma / Female,4.2
Florida,Non-Hodgkin lymphoma / Male,7.2
Florida,Oral cavity and pharynx / Both sexes combined,2.6
Florida,Oral cavity and pharynx / Female,1.4
Florida,Oral cavity and pharynx / Male,4.1
Florida,Ovary / Both sexes combined,6.9
Florida,Ovary / Female,6.9
Florida,Ovary / Male,n/a
Florida,Pancreas / Both sexes combined,10.3
Florida,Pancreas / Female,8.9
Florida,Pancreas / Male,12
Florida,Prostate / Both sexes combined,17.6
Florida,Prostate / Female,n/a
Florida,Prostate / Male,17.6
Florida,Stomach / Both sexes combined,2.9
Florida,Stomach / Female,2.1
Florida,Stomach / Male,3.8
Florida,Testis / Both sexes combined,0.3
Florida,Testis / Female,n/a
Florida,Testis / Male,0.3
Florida,Thyroid / Both sexes combined,0.4
Florida,Thyroid / Female,0.4
Florida,Thyroid / Male,0.4
Florida,Urinary bladder / Both sexes combined,4.4
Florida,Urinary bladder / Female,2
Florida,Urinary bladder / Male,7.5
Florida,Uterine corpus / Both sexes combined,4.1
Florida,Uterine corpus / Female,4.1
Florida,Uterine corpus / Male,n/a
Georgia,All cancer types combined / Both sexes combined,169.6
Georgia,All cancer types combined / Female,140.5
Georgia,All cancer types combined / Male,212.3
Georgia,Brain and other nervous system / Both sexes combined,4.2
Georgia,Brain and other nervous system / Female,3.4
Georgia,Brain and other nervous system / Male,5.2
Georgia,Breast / Both sexes combined,22.5 
Georgia,Breast / Female,22.5
Georgia,Breast / Male,n/a
Georgia,Cervix / Both sexes combined,2.5
Georgia,Cervix / Female,2.5
Georgia,Cervix / Male,n/a
Georgia,Colorectum / Both sexes combined,15.5
Georgia,Colorectum / Female,12.6
Georgia,Colorectum / Male,19.4
Georgia,Esophagus / Both sexes combined,3.7
Georgia,Esophagus / Female,1.4
Georgia,Esophagus / Male,6.6
Georgia,Hodgkin lymphoma / Both sexes combined,0.4
Georgia,Hodgkin lymphoma / Female,0.3
Georgia,Hodgkin lymphoma / Male,0.5
Georgia,Kidney and renal pelvis / Both sexes combined,3.6
Georgia,Kidney and renal pelvis / Female,2.2
Georgia,Kidney and renal pelvis / Male,5.4
Georgia,Larynx / Both sexes combined,1.1
Georgia,Larynx / Female,0.4
Georgia,Larynx / Male,1.9
Georgia,Leukemia / Both sexes combined,6.3
Georgia,Leukemia / Female,4.7
Georgia,Leukemia / Male,8.4
Georgia,Liver and intrahepatic bile duct / Both sexes combined,6
Georgia,Liver and intrahepatic bile duct / Female,3.6
Georgia,Liver and intrahepatic bile duct / Male,9
Georgia,Lung and bronchus / Both sexes combined,47.6
Georgia,Lung and bronchus / Female,35.6
Georgia,Lung and bronchus / Male,64.1
Georgia,Melanoma of the skin / Both sexes combined,2.5
Georgia,Melanoma of the skin / Female,1.5
Georgia,Melanoma of the skin / Male,4
Georgia,Myeloma / Both sexes combined,3.8
Georgia,Myeloma / Female,3.1
Georgia,Myeloma / Male,4.7
Georgia,Non-Hodgkin lymphoma / Both sexes combined,5.4
Georgia,Non-Hodgkin lymphoma / Female,4.1
Georgia,Non-Hodgkin lymphoma / Male,7.1
Georgia,Oral cavity and pharynx / Both sexes combined,2.7
Georgia,Oral cavity and pharynx / Female,1.4
Georgia,Oral cavity and pharynx / Male,4.1
Georgia,Ovary / Both sexes combined,7.5
Georgia,Ovary / Female,7.5
Georgia,Ovary / Male,n/a
Georgia,Pancreas / Both sexes combined,10.5
Georgia,Pancreas / Female,9.1
Georgia,Pancreas / Male,12.3
Georgia,Prostate / Both sexes combined,23.4
Georgia,Prostate / Female,n/a
Georgia,Prostate / Male,23.4
Georgia,Stomach / Both sexes combined,3.4
Georgia,Stomach / Female,2.5
Georgia,Stomach / Male,4.7
Georgia,Testis / Both sexes combined,0.2
Georgia,Testis / Female,n/a
Georgia,Testis / Male,0.2
Georgia,Thyroid / Both sexes combined,0.4
Georgia,Thyroid / Female,0.4
Georgia,Thyroid / Male,0.4
Georgia,Urinary bladder / Both sexes combined,4.5
Georgia,Urinary bladder / Female,2.3
Georgia,Urinary bladder / Male,7.8
Georgia,Uterine corpus / Both sexes combined,4.4
Georgia,Uterine corpus / Female,4.4
Georgia,Uterine corpus / Male,n/a
Hawaii,All cancer types combined / Both sexes combined,137.5
Hawaii,All cancer types combined / Female,114.9
Hawaii,All cancer types combined / Male,167.3
Hawaii,Brain and other nervous system / Both sexes combined,2.6
Hawaii,Brain and other nervous system / Female,2.3
Hawaii,Brain and other nervous system / Male,2.8
Hawaii,Breast / Both sexes combined,15 - Female breast cancer only.
Hawaii,Breast / Female,15
Hawaii,Breast / Male,n/a
Hawaii,Cervix / Both sexes combined,1.9
Hawaii,Cervix / Female,1.9
Hawaii,Cervix / Male,n/a
Hawaii,Colorectum / Both sexes combined,13.8
Hawaii,Colorectum / Female,10.7
Hawaii,Colorectum / Male,17.5
Hawaii,Esophagus / Both sexes combined,3
Hawaii,Esophagus / Female,0.9
Hawaii,Esophagus / Male,5.4
Hawaii,Hodgkin lymphoma / Both sexes combined,0.3
Hawaii,Hodgkin lymphoma / Female,.0001
Hawaii,Hodgkin lymphoma / Male,0.3
Hawaii,Kidney and renal pelvis / Both sexes combined,2.7
Hawaii,Kidney and renal pelvis / Female,1.6
Hawaii,Kidney and renal pelvis / Male,4.2
Hawaii,Larynx / Both sexes combined,0.7
Hawaii,Larynx / Female,.0001
Hawaii,Larynx / Male,1.4
Hawaii,Leukemia / Both sexes combined,5.2
Hawaii,Leukemia / Female,4
Hawaii,Leukemia / Male,6.9
Hawaii,Liver and intrahepatic bile duct / Both sexes combined,8.3
Hawaii,Liver and intrahepatic bile duct / Female,5
Hawaii,Liver and intrahepatic bile duct / Male,12
Hawaii,Lung and bronchus / Both sexes combined,32.1
Hawaii,Lung and bronchus / Female,25.1
Hawaii,Lung and bronchus / Male,40.8
Hawaii,Melanoma of the skin / Both sexes combined,1.6
Hawaii,Melanoma of the skin / Female,1
Hawaii,Melanoma of the skin / Male,2.4
Hawaii,Myeloma / Both sexes combined,2.6
Hawaii,Myeloma / Female,1.9
Hawaii,Myeloma / Male,3.5
Hawaii,Non-Hodgkin lymphoma / Both sexes combined,5.2
Hawaii,Non-Hodgkin lymphoma / Female,4
Hawaii,Non-Hodgkin lymphoma / Male,6.7
Hawaii,Oral cavity and pharynx / Both sexes combined,2.7
Hawaii,Oral cavity and pharynx / Female,1.5
Hawaii,Oral cavity and pharynx / Male,4.2
Hawaii,Ovary / Both sexes combined,5.4
Hawaii,Ovary / Female,5.4
Hawaii,Ovary / Male,n/a
Hawaii,Pancreas / Both sexes combined,11.1
Hawaii,Pancreas / Female,9.8
Hawaii,Pancreas / Male,12.4
Hawaii,Prostate / Both sexes combined,13.7
Hawaii,Prostate / Female,n/a
Hawaii,Prostate / Male,13.7
Hawaii,Stomach / Both sexes combined,4.8
Hawaii,Stomach / Female,3.7
Hawaii,Stomach / Male,6.3
Hawaii,Testis / Both sexes combined,.0001
Hawaii,Testis / Female,n/a
Hawaii,Testis / Male,.0001
Hawaii,Thyroid / Both sexes combined,0.7
Hawaii,Thyroid / Female,0.8
Hawaii,Thyroid / Male,0.6
Hawaii,Urinary bladder / Both sexes combined,2.6
Hawaii,Urinary bladder / Female,1
Hawaii,Urinary bladder / Male,4.7
Hawaii,Uterine corpus / Both sexes combined,4.3
Hawaii,Uterine corpus / Female,4.3
Hawaii,Uterine corpus / Male,n/a
Idaho,All cancer types combined / Both sexes combined,156
Idaho,All cancer types combined / Female,132.6
Idaho,All cancer types combined / Male,185.4
Idaho,Brain and other nervous system / Both sexes combined,5
Idaho,Brain and other nervous system / Female,3.3
Idaho,Brain and other nervous system / Male,6.8
Idaho,Breast / Both sexes combined,20.4 
Idaho,Breast / Female,20.4
Idaho,Breast / Male,n/a
Idaho,Cervix / Both sexes combined,1.7
Idaho,Cervix / Female,1.7
Idaho,Cervix / Male,n/a
Idaho,Colorectum / Both sexes combined,13.3
Idaho,Colorectum / Female,11.1
Idaho,Colorectum / Male,15.9
Idaho,Esophagus / Both sexes combined,4.2
Idaho,Esophagus / Female,1.5
Idaho,Esophagus / Male,7.3
Idaho,Hodgkin lymphoma / Both sexes combined,0.4
Idaho,Hodgkin lymphoma / Female,0.3
Idaho,Hodgkin lymphoma / Male,0.4
Idaho,Kidney and renal pelvis / Both sexes combined,4.1
Idaho,Kidney and renal pelvis / Female,2.5
Idaho,Kidney and renal pelvis / Male,6
Idaho,Larynx / Both sexes combined,0.7
Idaho,Larynx / Female,.0001
Idaho,Larynx / Male,1.3
Idaho,Leukemia / Both sexes combined,6.7
Idaho,Leukemia / Female,4.9
Idaho,Leukemia / Male,9
Idaho,Liver and intrahepatic bile duct / Both sexes combined,5
Idaho,Liver and intrahepatic bile duct / Female,3.2
Idaho,Liver and intrahepatic bile duct / Male,7
Idaho,Lung and bronchus / Both sexes combined,37
Idaho,Lung and bronchus / Female,31.4
Idaho,Lung and bronchus / Male,43.7
Idaho,Melanoma of the skin / Both sexes combined,3.5
Idaho,Melanoma of the skin / Female,2.4
Idaho,Melanoma of the skin / Male,4.8
Idaho,Myeloma / Both sexes combined,3.2
Idaho,Myeloma / Female,2.4
Idaho,Myeloma / Male,4.1
Idaho,Non-Hodgkin lymphoma / Both sexes combined,6.4
Idaho,Non-Hodgkin lymphoma / Female,5.1
Idaho,Non-Hodgkin lymphoma / Male,7.9
Idaho,Oral cavity and pharynx / Both sexes combined,2.4
Idaho,Oral cavity and pharynx / Female,1.3
Idaho,Oral cavity and pharynx / Male,3.5
Idaho,Ovary / Both sexes combined,7.5
Idaho,Ovary / Female,7.5
Idaho,Ovary / Male,n/a
Idaho,Pancreas / Both sexes combined,11.2
Idaho,Pancreas / Female,9.7
Idaho,Pancreas / Male,12.8
Idaho,Prostate / Both sexes combined,23.3
Idaho,Prostate / Female,n/a
Idaho,Prostate / Male,23.3
Idaho,Stomach / Both sexes combined,2.3
Idaho,Stomach / Female,1.5
Idaho,Stomach / Male,3.2
Idaho,Testis / Both sexes combined,0.3
Idaho,Testis / Female,n/a
Idaho,Testis / Male,0.3
Idaho,Thyroid / Both sexes combined,0.6
Idaho,Thyroid / Female,0.6
Idaho,Thyroid / Male,0.7
Idaho,Urinary bladder / Both sexes combined,4.2
Idaho,Urinary bladder / Female,1.7
Idaho,Urinary bladder / Male,7.4
Idaho,Uterine corpus / Both sexes combined,4.3
Idaho,Uterine corpus / Female,4.3
Idaho,Uterine corpus / Male,n/a
Illinois,All cancer types combined / Both sexes combined,173.7
Illinois,All cancer types combined / Female,150.3
Illinois,All cancer types combined / Male,208.3
Illinois,Brain and other nervous system / Both sexes combined,4.1
Illinois,Brain and other nervous system / Female,3.3
Illinois,Brain and other nervous system / Male,5.1
Illinois,Breast / Both sexes combined,22.5 
Illinois,Breast / Female,22.5
Illinois,Breast / Male,n/a
Illinois,Cervix / Both sexes combined,2.4
Illinois,Cervix / Female,2.4
Illinois,Cervix / Male,n/a
Illinois,Colorectum / Both sexes combined,15.8
Illinois,Colorectum / Female,13.2
Illinois,Colorectum / Male,19.1
Illinois,Esophagus / Both sexes combined,4.4
Illinois,Esophagus / Female,1.7
Illinois,Esophagus / Male,7.8
Illinois,Hodgkin lymphoma / Both sexes combined,0.3
Illinois,Hodgkin lymphoma / Female,0.2
Illinois,Hodgkin lymphoma / Male,0.4
Illinois,Kidney and renal pelvis / Both sexes combined,4.1
Illinois,Kidney and renal pelvis / Female,2.7
Illinois,Kidney and renal pelvis / Male,5.9
Illinois,Larynx / Both sexes combined,1.1
Illinois,Larynx / Female,0.4
Illinois,Larynx / Male,2.1
Illinois,Leukemia / Both sexes combined,7.2
Illinois,Leukemia / Female,5.4
Illinois,Leukemia / Male,9.7
Illinois,Liver and intrahepatic bile duct / Both sexes combined,6.1
Illinois,Liver and intrahepatic bile duct / Female,3.9
Illinois,Liver and intrahepatic bile duct / Male,8.7
Illinois,Lung and bronchus / Both sexes combined,47.6
Illinois,Lung and bronchus / Female,39.4
Illinois,Lung and bronchus / Male,59
Illinois,Melanoma of the skin / Both sexes combined,2.5
Illinois,Melanoma of the skin / Female,1.6
Illinois,Melanoma of the skin / Male,3.6
Illinois,Myeloma / Both sexes combined,3.4
Illinois,Myeloma / Female,2.7
Illinois,Myeloma / Male,4.3
Illinois,Non-Hodgkin lymphoma / Both sexes combined,6
Illinois,Non-Hodgkin lymphoma / Female,4.6
Illinois,Non-Hodgkin lymphoma / Male,7.8
Illinois,Oral cavity and pharynx / Both sexes combined,2.5
Illinois,Oral cavity and pharynx / Female,1.4
Illinois,Oral cavity and pharynx / Male,3.8
Illinois,Ovary / Both sexes combined,7.6
Illinois,Ovary / Female,7.6
Illinois,Ovary / Male,n/a
Illinois,Pancreas / Both sexes combined,11.1
Illinois,Pancreas / Female,9.8
Illinois,Pancreas / Male,12.8
Illinois,Prostate / Both sexes combined,20.9
Illinois,Prostate / Female,n/a
Illinois,Prostate / Male,20.9
Illinois,Stomach / Both sexes combined,3.5
Illinois,Stomach / Female,2.4
Illinois,Stomach / Male,4.9
Illinois,Testis / Both sexes combined,0.2
Illinois,Testis / Female,n/a
Illinois,Testis / Male,0.2
Illinois,Thyroid / Both sexes combined,0.5
Illinois,Thyroid / Female,0.5
Illinois,Thyroid / Male,0.5
Illinois,Urinary bladder / Both sexes combined,4.3
Illinois,Urinary bladder / Female,2.2
Illinois,Urinary bladder / Male,7.5
Illinois,Uterine corpus / Both sexes combined,5.2
Illinois,Uterine corpus / Female,5.2
Illinois,Uterine corpus / Male,n/a
Indiana,All cancer types combined / Both sexes combined,183.1
Indiana,All cancer types combined / Female,153.7
Indiana,All cancer types combined / Male,224.8
Indiana,Brain and other nervous system / Both sexes combined,4.5
Indiana,Brain and other nervous system / Female,3.6
Indiana,Brain and other nervous system / Male,5.6
Indiana,Breast / Both sexes combined,21.8 
Indiana,Breast / Female,21.8
Indiana,Breast / Male,n/a
Indiana,Cervix / Both sexes combined,2.4
Indiana,Cervix / Female,2.4
Indiana,Cervix / Male,n/a
Indiana,Colorectum / Both sexes combined,16
Indiana,Colorectum / Female,13.4
Indiana,Colorectum / Male,19.3
Indiana,Esophagus / Both sexes combined,4.9
Indiana,Esophagus / Female,1.7
Indiana,Esophagus / Male,8.9
Indiana,Hodgkin lymphoma / Both sexes combined,0.4
Indiana,Hodgkin lymphoma / Female,0.3
Indiana,Hodgkin lymphoma / Male,0.5
Indiana,Kidney and renal pelvis / Both sexes combined,4.5
Indiana,Kidney and renal pelvis / Female,2.9
Indiana,Kidney and renal pelvis / Male,6.4
Indiana,Larynx / Both sexes combined,1.1
Indiana,Larynx / Female,0.4
Indiana,Larynx / Male,2
Indiana,Leukemia / Both sexes combined,7.5
Indiana,Leukemia / Female,5.7
Indiana,Leukemia / Male,10
Indiana,Liver and intrahepatic bile duct / Both sexes combined,5.6
Indiana,Liver and intrahepatic bile duct / Female,3.5
Indiana,Liver and intrahepatic bile duct / Male,8.1
Indiana,Lung and bronchus / Both sexes combined,55.1
Indiana,Lung and bronchus / Female,42.9
Indiana,Lung and bronchus / Male,71.2
Indiana,Melanoma of the skin / Both sexes combined,3
Indiana,Melanoma of the skin / Female,2
Indiana,Melanoma of the skin / Male,4.2
Indiana,Myeloma / Both sexes combined,3.6
Indiana,Myeloma / Female,2.8
Indiana,Myeloma / Male,4.7
Indiana,Non-Hodgkin lymphoma / Both sexes combined,6.6
Indiana,Non-Hodgkin lymphoma / Female,5.1
Indiana,Non-Hodgkin lymphoma / Male,8.6
Indiana,Oral cavity and pharynx / Both sexes combined,2.4
Indiana,Oral cavity and pharynx / Female,1.3
Indiana,Oral cavity and pharynx / Male,3.7
Indiana,Ovary / Both sexes combined,7.8
Indiana,Ovary / Female,7.8
Indiana,Ovary / Male,n/a
Indiana,Pancreas / Both sexes combined,11.1
Indiana,Pancreas / Female,9.6
Indiana,Pancreas / Male,13.1
Indiana,Prostate / Both sexes combined,21
Indiana,Prostate / Female,n/a
Indiana,Prostate / Male,21
Indiana,Stomach / Both sexes combined,2.6
Indiana,Stomach / Female,1.8
Indiana,Stomach / Male,3.8
Indiana,Testis / Both sexes combined,0.3
Indiana,Testis / Female,n/a
Indiana,Testis / Male,0.3
Indiana,Thyroid / Both sexes combined,0.5
Indiana,Thyroid / Female,0.5
Indiana,Thyroid / Male,0.5
Indiana,Urinary bladder / Both sexes combined,4.9
Indiana,Urinary bladder / Female,2.5
Indiana,Urinary bladder / Male,8.4
Indiana,Uterine corpus / Both sexes combined,4.8
Indiana,Uterine corpus / Female,4.8
Indiana,Uterine corpus / Male,n/a
Iowa,All cancer types combined / Both sexes combined,168.9
Iowa,All cancer types combined / Female,142.2
Iowa,All cancer types combined / Male,206.5
Iowa,Brain and other nervous system / Both sexes combined,4.9
Iowa,Brain and other nervous system / Female,3.8
Iowa,Brain and other nervous system / Male,6.1
Iowa,Breast / Both sexes combined,19.4 
Iowa,Breast / Female,19.4
Iowa,Breast / Male,n/a
Iowa,Cervix / Both sexes combined,2
Iowa,Cervix / Female,2
Iowa,Cervix / Male,n/a
Iowa,Colorectum / Both sexes combined,16.3
Iowa,Colorectum / Female,13.9
Iowa,Colorectum / Male,19.2
Iowa,Esophagus / Both sexes combined,4.8
Iowa,Esophagus / Female,1.5
Iowa,Esophagus / Male,8.9
Iowa,Hodgkin lymphoma / Both sexes combined,0.3
Iowa,Hodgkin lymphoma / Female,0.3
Iowa,Hodgkin lymphoma / Male,0.4
Iowa,Kidney and renal pelvis / Both sexes combined,4.6
Iowa,Kidney and renal pelvis / Female,2.8
Iowa,Kidney and renal pelvis / Male,6.9
Iowa,Larynx / Both sexes combined,1
Iowa,Larynx / Female,0.4
Iowa,Larynx / Male,1.8
Iowa,Leukemia / Both sexes combined,7.2
Iowa,Leukemia / Female,5.3
Iowa,Leukemia / Male,9.8
Iowa,Liver and intrahepatic bile duct / Both sexes combined,4.9
Iowa,Liver and intrahepatic bile duct / Female,2.9
Iowa,Liver and intrahepatic bile duct / Male,7.1
Iowa,Lung and bronchus / Both sexes combined,46
Iowa,Lung and bronchus / Female,36
Iowa,Lung and bronchus / Male,59.1
Iowa,Melanoma of the skin / Both sexes combined,2.9
Iowa,Melanoma of the skin / Female,1.9
Iowa,Melanoma of the skin / Male,4.1
Iowa,Myeloma / Both sexes combined,3.5
Iowa,Myeloma / Female,2.8
Iowa,Myeloma / Male,4.6
Iowa,Non-Hodgkin lymphoma / Both sexes combined,6.6
Iowa,Non-Hodgkin lymphoma / Female,5.1
Iowa,Non-Hodgkin lymphoma / Male,8.7
Iowa,Oral cavity and pharynx / Both sexes combined,2.3
Iowa,Oral cavity and pharynx / Female,1.1
Iowa,Oral cavity and pharynx / Male,3.7
Iowa,Ovary / Both sexes combined,7.7
Iowa,Ovary / Female,7.7
Iowa,Ovary / Male,n/a
Iowa,Pancreas / Both sexes combined,10.9
Iowa,Pancreas / Female,9.3
Iowa,Pancreas / Male,12.7
Iowa,Prostate / Both sexes combined,19.8
Iowa,Prostate / Female,n/a
Iowa,Prostate / Male,19.8
Iowa,Stomach / Both sexes combined,2.1
Iowa,Stomach / Female,1.5
Iowa,Stomach / Male,2.9
Iowa,Testis / Both sexes combined,0.3
Iowa,Testis / Female,n/a
Iowa,Testis / Male,0.3
Iowa,Thyroid / Both sexes combined,0.5
Iowa,Thyroid / Female,0.5
Iowa,Thyroid / Male,0.6
Iowa,Urinary bladder / Both sexes combined,4.3
Iowa,Urinary bladder / Female,2
Iowa,Urinary bladder / Male,7.7
Iowa,Uterine corpus / Both sexes combined,5.2
Iowa,Uterine corpus / Female,5.2
Iowa,Uterine corpus / Male,n/a
Kansas,All cancer types combined / Both sexes combined,167.4
Kansas,All cancer types combined / Female,143
Kansas,All cancer types combined / Male,200.9
Kansas,Brain and other nervous system / Both sexes combined,5.2
Kansas,Brain and other nervous system / Female,4.2
Kansas,Brain and other nervous system / Male,6.3
Kansas,Breast / Both sexes combined,20.1 
Kansas,Breast / Female,20.1
Kansas,Breast / Male,n/a
Kansas,Cervix / Both sexes combined,1.9
Kansas,Cervix / Female,1.9
Kansas,Cervix / Male,n/a
Kansas,Colorectum / Both sexes combined,15.3
Kansas,Colorectum / Female,12.6
Kansas,Colorectum / Male,18.4
Kansas,Esophagus / Both sexes combined,4.3
Kansas,Esophagus / Female,1.3
Kansas,Esophagus / Male,7.8
Kansas,Hodgkin lymphoma / Both sexes combined,0.3
Kansas,Hodgkin lymphoma / Female,0.3
Kansas,Hodgkin lymphoma / Male,0.4
Kansas,Kidney and renal pelvis / Both sexes combined,4.5
Kansas,Kidney and renal pelvis / Female,2.8
Kansas,Kidney and renal pelvis / Male,6.7
Kansas,Larynx / Both sexes combined,0.8
Kansas,Larynx / Female,0.3
Kansas,Larynx / Male,1.4
Kansas,Leukemia / Both sexes combined,7.8
Kansas,Leukemia / Female,5.8
Kansas,Leukemia / Male,10.4
Kansas,Liver and intrahepatic bile duct / Both sexes combined,5.3
Kansas,Liver and intrahepatic bile duct / Female,3.5
Kansas,Liver and intrahepatic bile duct / Male,7.6
Kansas,Lung and bronchus / Both sexes combined,46.6
Kansas,Lung and bronchus / Female,38.4
Kansas,Lung and bronchus / Male,57.3
Kansas,Melanoma of the skin / Both sexes combined,3
Kansas,Melanoma of the skin / Female,1.8
Kansas,Melanoma of the skin / Male,4.6
Kansas,Myeloma / Both sexes combined,3.6
Kansas,Myeloma / Female,2.9
Kansas,Myeloma / Male,4.6
Kansas,Non-Hodgkin lymphoma / Both sexes combined,6.1
Kansas,Non-Hodgkin lymphoma / Female,4.9
Kansas,Non-Hodgkin lymphoma / Male,7.7
Kansas,Oral cavity and pharynx / Both sexes combined,2
Kansas,Oral cavity and pharynx / Female,1.1
Kansas,Oral cavity and pharynx / Male,3
Kansas,Ovary / Both sexes combined,7.4
Kansas,Ovary / Female,7.4
Kansas,Ovary / Male,n/a
Kansas,Pancreas / Both sexes combined,11.3
Kansas,Pancreas / Female,9.9
Kansas,Pancreas / Male,13
Kansas,Prostate / Both sexes combined,19.1
Kansas,Prostate / Female,n/a
Kansas,Prostate / Male,19.1
Kansas,Stomach / Both sexes combined,2.2
Kansas,Stomach / Female,1.5
Kansas,Stomach / Male,3.2
Kansas,Testis / Both sexes combined,0.2
Kansas,Testis / Female,n/a
Kansas,Testis / Male,0.2
Kansas,Thyroid / Both sexes combined,0.5
Kansas,Thyroid / Female,0.4
Kansas,Thyroid / Male,0.5
Kansas,Urinary bladder / Both sexes combined,4.1
Kansas,Urinary bladder / Female,2
Kansas,Urinary bladder / Male,7.2
Kansas,Uterine corpus / Both sexes combined,4.5
